LP|Substancja czynna|Nazwa  postać i dawka|Zawartość opakowania|Numer GTIN lub inny kod jednoznacznie identyfikujący produkt|Termin wejścia w życie decyzji|Okres obowiązywania decyzji|Grupa limitowa|Urzędowa cena zbytu|Cena hurtowa brutto|Cena detaliczna|Wysokość limitu finansowania|Zakres wskazań objętych refundacją|Zakres wskazań pozarejestracyjnych objętych refundacją|Poziom odpłatności|Wysokość dopłaty świadczeniobiorcy
1026|Dabigatranum etexilatum|Pradaxa, kaps. twarde, 110 mg|10 szt.|05909990641253|2021-03-01|3 lata|22.0, Heparyny drobnocząsteczkowe i leki o działaniu heparyn drobnocząsteczkowych|38,34|40,26|45,21|21,07|Żylne powikłania zakrzepowo-zatorowe u dorosłych pacjentów po przebytej planowej alloplastyce całkowitej stawu biodrowego (do 30 dnia po przebytej alloplastyce) lub kolanowego (do 14 dnia po przebytej alloplastyce) - prewencja pierwotna||ryczałt|27,34
1027|Dabigatranum etexilatum|Pradaxa, kaps. twarde, 110 mg|30 szt.|05909990641260|<1>2021-03-01/<2>2020-03-01|3 lata|22.0, Heparyny drobnocząsteczkowe i leki o działaniu heparyn drobnocząsteczkowych|115,02|120,77|130,44|63,21|<1>Żylne powikłania zakrzepowo-zatorowe u dorosłych pacjentów po przebytej planowej alloplastyce całkowitej stawu biodrowego (do 30 dnia po przebytej alloplastyce) lub kolanowego (do 14 dnia po przebytej alloplastyce) - prewencja pierwotna||ryczałt|70,43
1028|Dabigatranum etexilatum|Pradaxa, kaps. twarde, 110 mg|30 szt.|05909990641260|<1>2021-03-01/<2>2020-03-01|3 lata|22.0, Heparyny drobnocząsteczkowe i leki o działaniu heparyn drobnocząsteczkowych|115,02|120,77|130,44|63,21|<2>Leczenie zakrzepicy żył głębokich lub zatorowości płucnej - u osób powyżej 18 roku życia; Profilaktyka nawrotów zakrzepicy żył głębokich lub zatorowości płucnej - u osób powyżej 18 roku życia||30%|86,19
1029|Dabigatranum etexilatum|Pradaxa, kaps. twarde, 150 mg|30 szt.|05909990887453|2020-03-01|3 lata|22.0, Heparyny drobnocząsteczkowe i leki o działaniu heparyn drobnocząsteczkowych|115,02|120,77|132,32|86,18|Leczenie zakrzepicy żył głębokich lub zatorowości płucnej - u osób powyżej 18 roku życia; Profilaktyka nawrotów zakrzepicy żył głębokich lub zatorowości płucnej - u osób powyżej 18 roku życia||30%|71,99
1030|Dabigatranum etexilatum|Pradaxa, kaps. twarde, 75 mg|30 szt.|05909990641222|2021-03-01|3 lata|22.0, Heparyny drobnocząsteczkowe i leki o działaniu heparyn drobnocząsteczkowych|115,02|120,77|128,56|43,10|Żylne powikłania zakrzepowo-zatorowe u dorosłych pacjentów po przebytej planowej alloplastyce całkowitej stawu biodrowego (do 30 dnia po przebytej alloplastyce) lub kolanowego (do 14 dnia po przebytej alloplastyce) - prewencja pierwotna||ryczałt|88,66
1031|Danazolum|Danazol Polfarmex, tabl., 200 mg|100 szt.|05909990925339|2022-01-01  - dla kolumny M, 2019-07-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|73.0, Hormony płciowe - antygonadotropiny - danazol|162,00|170,10|186,85|186,85|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|małopłytkowość autoimmunizacyjna oporna na leczenie; zespół mielodysplastyczny|ryczałt|3,56
1032|Dapagliflozinum|Forxiga, tabl. powl., 10 mg|30 szt.|05909990975884|2021-11-01|2 lata|251.0, Doustne leki przeciwcukrzycowe - flozyny|153,90|161,60|178,14|178,14|Cukrzyca typu 2, u pacjentów przed włączeniem insuliny, leczonych co najmniej dwoma doustnymi lekami hipoglikemizującymi od co najmniej 6 miesięcy, z HbA1c ≥ 8 % oraz bardzo wysokim ryzykiem sercowo-naczyniowym rozumianym jako: 1)potwierdzona choroba sercowo-naczyniowa, lub 2)uszkodzenie innych narządów objawiające się poprzez: białkomocz lub przerost lewej komory lub retinopatię, lub 3) obecność 3 lub więcej głównych czynników ryzyka spośród wymienionych poniżej: -wiek ≥ 55 lat dla mężczyzn, ≥60 lat dla kobiet, -dyslipidemia, -nadciśnienie tętnicze, -palenie tytoniu, -otyłość||30%|53,44
1033|Degareliks|Firmagon, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, 120 mg|2 fiol. z prosz. i 2 fiol. z rozp.|05909990774869|2019-09-01|3 lata|237.0, Leki przeciwnowotworowe - antagoniści hormonów i leki zbliżone - degareliks|1496,29|1571,10|1619,24|1619,24|Zaawansowany hormonozależny rak gruczołu krokowego||ryczałt|9,48
1034|Degareliks|Firmagon, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, 80 mg|1 fiol. z prosz. i 1 amp-strz. rozp.|05909990774852|2019-09-01|3 lata|237.0, Leki przeciwnowotworowe - antagoniści hormonów i leki zbliżone - degareliks|498,71|523,65|549,24|549,24|Zaawansowany hormonozależny rak gruczołu krokowego||ryczałt|3,20
1035|Denosumabum|Prolia, roztwór do wstrzykiwań, 60 mg/1 ml|1 amp.-strz.po 1 ml|05909990761647|2021-05-01|2 lata|231.0, Leki stosowane w chorobach kości - przeciwciała monoklonalne - denosumab|567,15|595,51|622,90|622,90|Osteoporoza pomenopauzalna (T-score mniejsze lub równe -2,5 mierzone metodą DXA lub wystąpienie złamania osteoporotycznego) u kobiet w wieku powyżej 60 lat, po niepowodzeniu leczenia doustnymi bisfosfonianami lub z przeciwwskazaniami (nietolerancja) do ich stosowania; Osteoporoza (T-score mniejsze lub równe -2,5 mierzone metodą DXA lub wystąpienie złamania osteoporotycznego) u mężczyzn w wieku powyżej 60 lat, po niepowodzeniu leczenia doustnymi bisfosfonianami lub z przeciwwskazaniami (nietolerancja) do ich stosowania||30%|186,87
1036|Desloratadinum|Dasselta, tabl. powl., 5 mg|30 szt.|05909991032838|2021-05-01|3 lata|207.1, Leki przeciwhistaminowe do stosowania doustnego - stałe postacie farmaceutyczne|11,12|11,68|15,20|12,93|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|6,15
1037|Desloratadinum|Dasselta, tabl. powl., 5 mg|90 szt.|05909991032852|2021-05-01|3 lata|207.1, Leki przeciwhistaminowe do stosowania doustnego - stałe postacie farmaceutyczne|33,36|35,03|42,11|38,78|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|14,96
1038|Desloratadinum|Delortan, roztwór doustny, 0.5 mg/ml|1 but.po 150 ml|05909990969371|2020-09-01|3 lata|207.2, Leki przeciwhistaminowe do stosowania doustnego - płynne postacie farmaceutyczne|11,65|12,23|15,67|12,86|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|6,67
1039|Desloratadinum|Delortan, tabl. powl., 5 mg|30 szt.|05909990969654|2022-01-01|3 lata|207.1, Leki przeciwhistaminowe do stosowania doustnego - stałe postacie farmaceutyczne|8,91|9,36|12,89|12,89|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|3,87
1040|Desloratadinum|Delortan, tabl. powl., 5 mg|90 szt.|05909990969678|2020-09-01|3 lata|207.1, Leki przeciwhistaminowe do stosowania doustnego - stałe postacie farmaceutyczne|26,63|27,96|35,03|35,03|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|10,51
1041|Desloratadinum|Deslodyna, roztwór doustny, 0.5 mg/ml|150 ml (but.)|05909990964574|2021-05-01|3 lata|207.2, Leki przeciwhistaminowe do stosowania doustnego - płynne postacie farmaceutyczne|13,18|13,84|17,27|12,86|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|8,27
1042|Desloratadinum|Deslodyna, tabl. powl., 5 mg|30 szt.|05909990964611|2021-05-01|3 lata|207.1, Leki przeciwhistaminowe do stosowania doustnego - stałe postacie farmaceutyczne|10,91|11,46|14,99|12,93|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|5,94
1043|Desloratadinum|Desloratadine Aurovitas, tabl. powl., 5 mg|30 szt.|05909991359454|2019-09-01|3 lata|207.1, Leki przeciwhistaminowe do stosowania doustnego - stałe postacie farmaceutyczne|7,56|7,94|11,47|11,47|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|3,44
1044|Desloratadinum|Desloratadine Aurovitas, tabl. powl., 5 mg|60 szt.|08901175035427|2019-09-01|3 lata|207.1, Leki przeciwhistaminowe do stosowania doustnego - stałe postacie farmaceutyczne|15,53|16,31|21,86|21,86|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|6,56
1045|Desloratadinum|Desloratadine Aurovitas, tabl. powl., 5 mg|90 szt.|05909991359478|2019-09-01|3 lata|207.1, Leki przeciwhistaminowe do stosowania doustnego - stałe postacie farmaceutyczne|23,27|24,43|31,50|31,50|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|9,45
1046|Desloratadinum|Dynid, roztwór doustny, 0.5 mg/ml|150 ml|05909990975921|2022-01-01|3 lata|207.2, Leki przeciwhistaminowe do stosowania doustnego - płynne postacie farmaceutyczne|11,65|12,23|15,67|12,86|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|6,67
1047|Desloratadinum|Dynid, tabl., 5 mg|30 szt.|05909990979981|2022-01-01|3 lata|207.1, Leki przeciwhistaminowe do stosowania doustnego - stałe postacie farmaceutyczne|9,67|10,15|13,68|12,93|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|4,63
1048|Desloratadinum|Dynid, tabl. powl., 5 mg|60 szt.|05902020241669|2019-09-01|3 lata|207.1, Leki przeciwhistaminowe do stosowania doustnego - stałe postacie farmaceutyczne|17,82|18,71|24,26|24,26|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|7,28
1049|Desloratadinum|Hitaxa, roztwór doustny, 0.5 mg/ml|1 but.po 150 ml|05909990981458|2021-03-01|3 lata|207.2, Leki przeciwhistaminowe do stosowania doustnego - płynne postacie farmaceutyczne|15,55|16,33|19,77|12,86|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|10,77
1050|Desloratadinum|Hitaxa, tabl. ulegające rozpadowi w jamie ustnej, 2.5 mg|30 szt.|05909990981359|2021-03-01|3 lata|207.1, Leki przeciwhistaminowe do stosowania doustnego - stałe postacie farmaceutyczne|7,40|7,77|9,79|6,46|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|5,27
1051|Desloratadinum|Hitaxa, tabl. ulegające rozpadowi w jamie ustnej, 5 mg|30 szt.|05909990981373|2021-03-01|3 lata|207.1, Leki przeciwhistaminowe do stosowania doustnego - stałe postacie farmaceutyczne|14,56|15,29|18,82|12,93|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|9,77
1052|Desloratadinum|Jovesto, tabl. powl., 5 mg|60 szt.|05909990994533|2021-05-01|3 lata|207.1, Leki przeciwhistaminowe do stosowania doustnego - stałe postacie farmaceutyczne|19,33|20,30|25,85|25,85|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|7,76
1053|Desloratadinum|Jovesto, tabl. powl., 5 mg|90 szt.|05909990994540|2020-11-01|3 lata|207.1, Leki przeciwhistaminowe do stosowania doustnego - stałe postacie farmaceutyczne|27,81|29,20|36,27|36,27|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||30%|10,88
1054|Desmopressinum|Minirin Melt, liofilizat doustny, 120 µg|30 szt.|05909990068548|2021-07-01|3 lata|78.2, Hormony przysadki i podwzgórza – doustne postacie farmaceutyczne desmopresyny|150,66|158,19|174,60|174,60|Moczówka prosta przysadkowa||ryczałt|3,20
1055|Desmopressinum|Minirin Melt, liofilizat doustny, 120 µg|30 szt.|05909990068548|2021-07-01  - dla kolumny M, 2021-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|78.2, Hormony przysadki i podwzgórza – doustne postacie farmaceutyczne desmopresyny|150,66|158,19|174,60|174,60|Pierwotne izolowane moczenie nocne u pacjentów powyżej 6 roku życia z prawidłową zdolnością zagęszczania moczu po udokumentowaniu nieskuteczności 1-miesięcznego postępowania wspomagającego i motywującego|pierwotne izolowane moczenie nocne u pacjentów pomiędzy 5-6 rokiem życia z prawidłową zdolnością zagęszczania moczu po udokumentowaniu nieskuteczności 1-miesięcznego postępowania wspomagającego i motywującego|30%|52,38
1056|Desmopressinum|Minirin Melt, liofilizat doustny, 240 µg|30 szt.|05909990068579|2021-07-01|3 lata|78.2, Hormony przysadki i podwzgórza – doustne postacie farmaceutyczne desmopresyny|301,32|316,39|336,80|336,80|Moczówka prosta przysadkowa||ryczałt|6,40
1057|Desmopressinum|Minirin Melt, liofilizat doustny, 240 µg|30 szt.|05909990068579|2021-07-01  - dla kolumny M, 2021-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|78.2, Hormony przysadki i podwzgórza – doustne postacie farmaceutyczne desmopresyny|301,32|316,39|336,80|336,80|Pierwotne izolowane moczenie nocne u pacjentów powyżej 6 roku życia z prawidłową zdolnością zagęszczania moczu po udokumentowaniu nieskuteczności 1-miesięcznego postępowania wspomagającego i motywującego|pierwotne izolowane moczenie nocne u pacjentów pomiędzy 5-6 rokiem życia z prawidłową zdolnością zagęszczania moczu po udokumentowaniu nieskuteczności 1-miesięcznego postępowania wspomagającego i motywującego|30%|101,04
1058|Desmopressinum|Minirin Melt, liofilizat doustny, 60 µg|30 szt.|05909990068494|2021-07-01|3 lata|78.2, Hormony przysadki i podwzgórza – doustne postacie farmaceutyczne desmopresyny|75,33|79,10|91,51|87,30|Moczówka prosta przysadkowa||ryczałt|7,41
1059|Desmopressinum|Minirin Melt, liofilizat doustny, 60 µg|30 szt.|05909990068494|2021-07-01  - dla kolumny M, 2021-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|78.2, Hormony przysadki i podwzgórza – doustne postacie farmaceutyczne desmopresyny|75,33|79,10|91,51|87,30|Pierwotne izolowane moczenie nocne u pacjentów powyżej 6 roku życia z prawidłową zdolnością zagęszczania moczu po udokumentowaniu nieskuteczności 1-miesięcznego postępowania wspomagającego i motywującego|pierwotne izolowane moczenie nocne u pacjentów pomiędzy 5-6 rokiem życia z prawidłową zdolnością zagęszczania moczu po udokumentowaniu nieskuteczności 1-miesięcznego postępowania wspomagającego i motywującego|30%|30,40
1060|Dexamethasonum|Demezon, tabl., 1 mg|40 szt.|05909991389178|2020-03-01  - dla kolumny M, 2020-03-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|81.2, Kortykosteroidy do stosowania ogólnego - glikokortykoidy do podawania doustnego|23,22|24,38|30,86|29,99|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|<1>nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL|ryczałt|4,07
1061|Dexamethasonum|Demezon, tabl., 4 mg|20 szt.|05909991389208|2020-03-01  - dla kolumny M, 2020-03-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|81.2, Kortykosteroidy do stosowania ogólnego - glikokortykoidy do podawania doustnego|46,44|48,76|58,57|58,57|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|<1>nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL|ryczałt|5,69
1062|Dexamethasonum|Dexamethasone Krka, tabl., 20 mg|20 szt.|05909991397524|2019-09-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|81.2, Kortykosteroidy do stosowania ogólnego - glikokortykoidy do podawania doustnego|234,36|246,08|265,21|265,21|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|<1>nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL|ryczałt|28,44
1063|Dexamethasonum|Dexamethasone Krka, tabl., 20 mg|20 szt.|05909991397258|2019-09-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|81.2, Kortykosteroidy do stosowania ogólnego - glikokortykoidy do podawania doustnego|241,92|254,02|273,15|273,15|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|<1>nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL|ryczałt|28,44
1064|Dexamethasonum|Dexamethasone KRKA, tabl., 20 mg|20 szt.|05909991297763|2020-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|81.2, Kortykosteroidy do stosowania ogólnego - glikokortykoidy do podawania doustnego|252,72|265,36|284,49|284,49|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL|ryczałt|28,44
1065|Dexamethasonum|Dexamethasone Krka, tabl., 4 mg|20 szt.|05909991393984|2019-09-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|81.2, Kortykosteroidy do stosowania ogólnego - glikokortykoidy do podawania doustnego|46,98|49,33|59,14|59,14|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|<1>nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL|ryczałt|5,69
1066|Dexamethasonum|Dexamethasone Krka, tabl., 4 mg|20 szt.|05909991397319|2019-09-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|81.2, Kortykosteroidy do stosowania ogólnego - glikokortykoidy do podawania doustnego|48,38|50,80|60,61|59,97|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|<1>nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL|ryczałt|6,33
1067|Dexamethasonum|Dexamethasone KRKA, tabl., 4 mg|20 szt.|05909991297480|2020-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|81.2, Kortykosteroidy do stosowania ogólnego - glikokortykoidy do podawania doustnego|50,54|53,07|62,88|59,97|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL|ryczałt|8,60
1068|Dexamethasonum|Dexamethasone KRKA, tabl., 40 mg|20 szt.|05909991297879|2021-11-01  - dla kolumny M, 2021-11-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|81.2, Kortykosteroidy do stosowania ogólnego - glikokortykoidy do podawania doustnego|502,16|527,27|553,04|553,04|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|<1>nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL|ryczałt|56,89
1069|Dexamethasonum|Dexamethasone KRKA, tabl., 8 mg|20 szt.|05909991297633|2020-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|81.2, Kortykosteroidy do stosowania ogólnego - glikokortykoidy do podawania doustnego|101,09|106,14|119,95|119,95|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL|ryczałt|11,38
1070|Dexamethasonum|Pabi-Dexamethason, tabl., 1 mg|20 szt.|05904374007854|2020-11-01  - dla kolumny M, 2020-11-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|81.2, Kortykosteroidy do stosowania ogólnego - glikokortykoidy do podawania doustnego|16,96|17,81|21,96|14,99|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|<1>nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL|ryczałt|10,17
1071|Dexamethasonum|Pabi-Dexamethason, tabl., 500 µg|20 szt.|05904374007861|2020-11-01  - dla kolumny M, 2020-11-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|81.2, Kortykosteroidy do stosowania ogólnego - glikokortykoidy do podawania doustnego|8,48|8,90|11,39|7,50|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|<1>nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL|ryczałt|7,09
1072|Diazepamum|Relsed, mikrowlewka doodbytnicza, roztwór, 2 mg/ml|5 mikrowlewek a 2,5 ml|05909990751518|2022-01-01  - dla kolumny M, 2021-03-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|181.1, Leki przeciwlękowe - diazepam do podawania doodbytniczego (wlewki )|16,09|16,89|20,32|12,45|Padaczka|drgawki inne niż określone w ChPL|ryczałt|11,07
1073|Diazepamum|Relsed, mikrowlewka doodbytnicza, roztwór, 4 mg/ml|5 mikrowlewek a 2,5 ml|05909990751617|2022-01-01  - dla kolumny M, 2021-03-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|181.1, Leki przeciwlękowe - diazepam do podawania doodbytniczego (wlewki )|18,58|19,51|24,90|24,90|Padaczka|drgawki inne niż określone w ChPL|ryczałt|3,20
1074|Diclofenacum|Naclof, krople do oczu, roztwór, 1 mg/ml|5 ml (but.)|05909990145317|2022-01-01|3 lata|210.0, Niesteroidowe leki przeciwzapalne do stosowania do oczu - diklofenak|7,51|7,89|10,77|10,28|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,69
1075|Diclofenacum|Olfen Uno, tabl. o zmodyfikowanym uwalnianiu, 150 mg|30 szt.|05909990457120|2022-01-01|3 lata|141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednoskładnikowe i skojarzone z inhibitorami pompy protonowej - stałe postacie farmaceutyczne|16,96|17,81|22,51|20,27|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|12,38
1076|Diclofenacum|Olfen UNO, tabl. o zmodyfikowanym uwalnianiu, 150 mg|60 szt. (6 blist.po 10 szt.)|05909990457137|2019-11-01|3 lata|141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednoskładnikowe i skojarzone z inhibitorami pompy protonowej - stałe postacie farmaceutyczne|22,68|23,81|31,11|31,11|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|15,56
1077|Diclofenacum natricum|Diclac, roztwór do wstrzykiwań domięśniowych, 75 mg/3 ml|10 amp.po 3 ml|05909990753024|2022-01-01|3 lata|141.3, Niesteroidowe leki przeciwzapalne do stosowania pozajelitowego|11,45|12,02|15,92|15,92|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|7,96
1078|Diclofenacum natricum|Diclac, roztwór do wstrzykiwań domięśniowych, 75 mg/3 ml|5 amp.po 3 ml|05909990753017|2022-01-01|3 lata|141.3, Niesteroidowe leki przeciwzapalne do stosowania pozajelitowego|5,72|6,01|8,30|8,30|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|4,15
1079|Diclofenacum natricum|Dicloabak, krople do oczu, roztwór, 1 mg/ml|10 ml (but.)|05909990074044|2022-01-01|3 lata|210.0, Niesteroidowe leki przeciwzapalne do stosowania do oczu - diklofenak|15,12|15,88|20,56|20,56|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
1080|Diclofenacum natricum|DicloDuo, kaps. o zmodyfikowanym uwalnianiu, 75 mg|30 szt.|05909990752010|2022-01-01|3 lata|141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednoskładnikowe i skojarzone z inhibitorami pompy protonowej - stałe postacie farmaceutyczne|10,96|11,51|14,41|10,13|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|9,35
1081|Diclofenacum natricum|Difadol 0,1%, krople do oczu, roztwór, 1 mg/ml|5 ml|05909991026516|2022-01-01|3 lata|210.0, Niesteroidowe leki przeciwzapalne do stosowania do oczu - diklofenak|8,53|8,96|11,84|10,28|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|4,76
1082|Diclofenacum natricum|Majamil prolongatum, tabl. o przedłużonym uwalnianiu, 100 mg|20 szt.|05909990033614|2022-01-01|3 lata|141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednoskładnikowe i skojarzone z inhibitorami pompy protonowej - stałe postacie farmaceutyczne|5,13|5,39|8,02|8,02|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|4,01
1083|Diclofenacum natricum|Naklofen, roztwór do wstrzykiwań, 25 mg/ml|5 amp.po 3 ml|05909990241910|2022-01-01|3 lata|141.3, Niesteroidowe leki przeciwzapalne do stosowania pozajelitowego|5,72|6,01|8,30|8,30|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|4,15
1084|Diclofenacum natricum|Olfen 75 SR, tabl. powl. o przedłużonym uwalnianiu, 75 mg|30 szt.|05909990974122|2022-01-01|3 lata|141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednoskładnikowe i skojarzone z inhibitorami pompy protonowej - stałe postacie farmaceutyczne|11,45|12,02|14,92|10,13|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|9,86
1085|Diclofenacum natricum + Lidocaini hydrochloridum|Olfen 75, roztwór do wstrzykiwań, (37,5+10) mg/ml|5 amp.po 2 ml|05909990161119|2022-01-01|3 lata|141.3, Niesteroidowe leki przeciwzapalne do stosowania pozajelitowego|9,29|9,75|12,05|8,30|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|7,90
1086|Dienogest|Diemono, tabl. powl., 2 mg|28 szt.|05909991405120|2020-01-01|3 lata|66.0, Hormony płciowe - progestageny - dienogest|32,10|33,71|40,61|36,27|Endometrioza||ryczałt|7,54
1087|Dienogestum|Aridya, tabl. powl., 2 mg|28 szt.|05909991430702|2021-05-01|3 lata|66.0, Hormony płciowe - progestageny - dienogest|27,00|28,35|35,25|35,25|Endometrioza||ryczałt|3,20
1088|Dienogestum|Endofemine, tabl., 2 mg|28 szt.|05901797710804|2020-09-01|3 lata|66.0, Hormony płciowe - progestageny - dienogest|30,24|31,75|38,65|36,27|Endometrioza||ryczałt|5,58
1089|Dienogestum|Endovelle, tabl., 2 mg|28 szt.|05909991398569|2020-03-01|3 lata|66.0, Hormony płciowe - progestageny - dienogest|30,78|32,32|39,22|36,27|Endometrioza||ryczałt|6,15
1090|Dienogestum|Endovelle, tabl., 2 mg|84 szt.|05909991398576|2020-03-01|3 lata|66.0, Hormony płciowe - progestageny - dienogest|92,34|96,96|109,86|108,81|Endometrioza||ryczałt|10,01
1091|Dienogestum|Probella, tabl., 2 mg|28 szt.|05909991396978|2020-09-01|3 lata|66.0, Hormony płciowe - progestageny - dienogest|32,07|33,67|40,57|36,27|Endometrioza||ryczałt|7,50
1092|Dienogestum|Symdieno, tabl. powl., 2 mg|28 szt.|05909991392871|2020-03-01|3 lata|66.0, Hormony płciowe - progestageny - dienogest|30,24|31,75|38,65|36,27|Endometrioza||ryczałt|5,58
